category,sub_category,item_type,item_name,brand,sale_price_editable,sale_price,shortage_alert,expire_alert,barcode,description,direct_of_use,base_unit,packet_name,packet_price,packet_barcode,base_unit_qty,default_unit,description_arabic,description_kurdish
category,sub_category,item_type,item_name,Brand,sale price editable,sale_price,Quantity alert,Expiration alert,barcode,description,direct_of_use,UoM,Alt_UoM,Alt_UoM price,packet_barcode,base_unit_qty,default_unit,وصف,وەسف
Cosmetic,Candles,Candle,Brightest Bloom Scented Candle 411g,Bath And Body Works,0,27500,0,0,667559276180,"Bath & Body Works Brightest Bloom Scented Candle 411 g – a 3-wick candle with notes of fresh spring blossoms, soft petals, and a hint of warm musk. Made with premium fragrance oils and a clean-burning wax blend to create a cozy floral atmosphere.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,"شمعة باث آند بودي ووركس المعطرة ""أزهر الإشراق"" 411 غرام – شمعة بثلاث فتائل بنفحات أزهار الربيع المنعشة، والبتلات الناعمة، ولمسة من المسك الدافئ. مصنوعة من زيوت عطرية فاخرة ومزيج شمع يحترق بنظافة لخلق أجواء زهرية دافئة.",Bath & Body Works مۆمی بۆنداری گەشترین گوڵاڵە ٤١١ گرام – مۆمێکی سێ فیتڵەیی بە بۆنی گوڵاڵەی بەهاری تازە، پەلکەگوڵی نەرم، و کەمێک میسکی گەرم. دروستکراوە بە زەیتی بۆنخۆشی کوالیتی بەرز و تێکەڵەی مۆمێکی خاوێن سوتێن بۆ دروستکردنی کەشێکی گوڵاوی ئارام.
Cosmetic,Candles,Candle,Winter Candy Apple 411g,Bath And Body Works,0,26000,0,0,667559077091,"Bath & Body Works Winter Candy Apple Scented Candle 411 g – a festive 3-wick candle with notes of red apple, crisp pear, and winter rose petals, blended with premium fragrance oils for a sweet, holiday-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,باث آند بودي ووركس شمعة معطرة برائحة وينتر كاندي آبل 411 جم – شمعة احتفالية بثلاث فتائل بنفحات من التفاح الأحمر، الكمثرى المنعشة، وبتلات الورد الشتوية، ممزوجة بزيوت عطرية فاخرة لعبير حلو مستوحى من الأعياد.,مۆمی بۆنخۆشی Bath & Body Works بە بۆنی سێوی کاندی زستانە ٤١١ گرام – مۆمێکی جەژنانەی سێ فیتڵەیی، بە تێکەڵەیەک لە بۆنی سێوی سوور، هەرمێی ناسک، و پیتەی گوڵی سووری زستانە، تێکەڵکراو بە ڕۆنە بۆنخۆشە نایابەکان بۆ بۆنێکی شیرین و جەژنانە.
Cosmetic,Candles,Candle,Sundrenched Linen Candle 411g,Bath And Body Works,0,26000,0,0,667559260585,"Bath & Body Works Sundrenched Linen Scented Candle 411 g – a fresh 3-wick candle with notes of clean cool cotton, crisp apple, and soft musk, crafted with premium fragrance oils for a breezy, sun-washed aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,باث آند بودي ووركس شمعة الكتان المشبع بأشعة الشمس المعطرة 411 جم – شمعة منعشة بثلاث فتائل بنفحات من القطن النظيف البارد، والتفاح المنعش، والمسك الناعم، مصممة بزيوت عطرية فاخرة لأريج منعش يشبه نسيم الشمس.,مۆمی بۆنداری کەتانی خۆر لێدراوی باس ئەند بۆدی وۆرکس ٤١١ گرام – مۆمێکی سێ فیتڵەیی تازەیە کە بۆنی لۆکەی پاکی فێنک، سێوی توند، و میسکی نەرمی تێدایە، بە زەیتە بۆنە کوالێتی بەرزەکان دروستکراوە بۆ دروستکردنی بۆنێکی شنەبایی وەک جل شۆراوی خۆر لێدراو.
Cosmetic,Candles,Candle,Pumpkin Spice Latte 411g,Bath And Body Works,0,26000,0,0,667559292760,"Bath & Body Works Pumpkin Spice Latte Scented Candle 411 g – a cozy 3-wick candle with notes of pumpkin purée, spiced espresso, and sweet whipped cream, blended with premium fragrance oils for a warm autumn aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,شمعة معطرة برائحة لاتيه اليقطين والبهارات من باث آند بودي ووركس، 411 جرام – شمعة دافئة بثلاث فتائل، بنفحات من هريس اليقطين، وإسبريسو بالبهارات، وكريمة مخفوقة حلوة، ممزوجة بزيوت عطرية فاخرة لرائحة خريفية دافئة.,Bath & Body Works مۆمی بۆنخۆشی لاتیی بەهاراتیی کادوو ٤١١ گرام – مۆمێکی سێ-فتیلەی ئاسوودەبەخشە بە بۆنەکانی پۆڕێی کادوو، ئێسپرێسۆی بەهاراتدار و کرێمی لێدراوی شیرین، تێکەڵکراو لەگەڵ ڕۆنە بۆنخۆشە نایابەکان بۆ بۆنێکی پاییزیی گەرم.
Cosmetic,Candles,Candle,Snowy Coconut Frost,Bath And Body Works,0,26000,0,0,667558803271,"Bath & Body Works Snowy Coconut Frost Scented Candle 411 g – a festive 3-wick candle with notes of frosted coconut, winter vanilla, and sugared musk, crafted with premium fragrance oils for a sweet, wintry aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet,"شمعة باث آند بودي ووركس المعطرة ""سنوي كوكونت فروست"" 411 غرام – شمعة احتفالية بثلاث فتائل مع نفحات من جوز الهند المثلج، وفانيليا الشتاء، والمسك المحلى، مصنوعة بزيوت عطرية فاخرة لرائحة حلوة وشتوية.",بات ئەند بۆدی وۆرکس مۆمی بۆنخۆشی سەهۆڵبەندی گوێزی هیندی بەفراوی ٤١١ گرام – مۆمێکی جەژنانەی ٣ فیتڵەیی بە بۆنی گوێزی هیندی سەهۆڵبەندی، ڤانێلای زستانە، و میسکی شیرین کراو، کە بە زەیتی بۆنخۆشی کوالێتی بەرز دروست کراوە بۆ بۆنێکی شیرین و زستانە.
Cosmetic,Candles,Candle,Rose Water & Ivy 411g,Bath And Body Works,0,26000,0,0,667559143239,"Bath & Body Works Rose Water & Ivy Scented Candle 411 g – a refreshing 3-wick candle with notes of soft rose petals, rain-kissed ivy, and creamy sandalwood, crafted with premium fragrance oils for a delicate floral aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
